Timestamp,Speed,value,value_heartbeat,value_distancecycling,value_distancewalkrun,value_steps
2024-03-02 14:44:50+00:00,1.041242888888889,0.245,112.66666666666669,,0.0021812366666666,
2024-03-02 14:45:00+00:00,1.024311,0.207,112.0,,0.13501284,953.0
2024-03-02 14:45:10+00:00,1.4134563333333334,0.2274999999999999,110.33333333333331,,0.0036368375,
2024-03-02 14:45:20+00:00,1.2929684545454545,0.2282499999999999,108.0,,0.0033491175,
2024-03-02 14:45:30+00:00,1.306886,0.22925,109.0,,0.0034018125,
2024-03-02 14:45:40+00:00,1.198329090909091,0.2287499999999999,107.5,,0.0028745925,
2024-03-02 14:45:50+00:00,1.2179934444444445,0.2402499999999999,107.0,,0.00318862,
2024-03-02 14:46:00+00:00,1.1918635454545454,0.187,106.0,,0.003320385,
2024-03-02 14:46:10+00:00,1.3091006666666667,0.2035,106.5,,0.003366515,
2024-03-02 14:46:20+00:00,1.169020727272727,0.20575,103.5,,0.00272279675,
2024-03-02 14:46:30+00:00,0.9867738888888888,0.209,101.66666666666669,,0.0027674666666666,
2024-03-02 14:46:40+00:00,1.180247181818182,0.211,102.0,,0.002911944,
2024-03-02 14:46:50+00:00,1.1994333333333334,0.1756666666666666,105.0,,0.00326191,
2024-03-02 14:47:00+00:00,1.198886818181818,0.2302,106.0,,0.003013528,
2024-03-02 14:47:10+00:00,1.7286746666666668,0.158,105.0,,0.0046774233333333,
2024-03-02 14:47:20+00:00,1.285879,0.18225,104.5,,0.003452425,
2024-03-02 14:47:30+00:00,1.3091393333333334,0.25,108.0,,0.003601275,
2024-03-02 14:47:40+00:00,1.0147795454545454,0.2505,109.0,,0.0023263535,
2024-03-02 14:47:50+00:00,1.0741343333333333,0.248,108.0,,0.0026971575,
2024-03-02 14:48:00+00:00,1.4805328181818185,0.172,108.5,,0.00400531,
2024-03-02 14:48:10+00:00,1.1615411111111111,0.248,108.0,,0.002725645,
2024-03-02 14:48:20+00:00,1.0511363636363635,0.251,108.5,,0.00296403,
2024-03-02 14:48:30+00:00,1.3245232222222223,0.251,109.0,,0.003292945,
2024-03-02 14:48:40+00:00,1.2212264545454543,0.25,110.33333333333331,,0.0031053975,
2024-03-02 14:48:50+00:00,1.258908666666667,0.19075,112.5,,0.003500465,
2024-03-02 14:49:00+00:00,1.2848419090909091,0.2287499999999999,108.0,,0.0033106274999999,
2024-03-02 14:49:10+00:00,1.4201995555555555,0.1966666666666666,108.0,,0.0034601033333333,
2024-03-02 14:49:20+00:00,1.2681395454545454,0.2367999999999999,106.33333333333331,,0.0031111719999999,
2024-03-02 14:49:30+00:00,1.447353888888889,0.2333333333333333,105.5,,0.0039341966666666,
2024-03-02 14:49:40+00:00,1.3641613636363636,0.1835999999999999,107.0,,0.003557856,
2024-03-02 14:49:50+00:00,0.9547237777777778,0.223,108.0,,0.0021360166666666,
